2019-01-03T00:00:00,MO,CLOSING ORDER CREATED
2019-01-03T00:00:00,TXN,CLOSING ORDER CREATED
2019-01-03T00:00:00,UNH,CLOSING ORDER CREATED
2019-01-03T00:00:00,XOM,CLOSING ORDER CREATED
2019-01-03T00:00:00,GE,SHORT ORDER CREATED
2019-01-03T00:00:00,BIIB,SHORT ORDER CREATED
2019-01-03T00:00:00,LLY,SHORT ORDER CREATED
2019-01-03T00:00:00,ABBV,SHORT ORDER CREATED
2019-01-03T00:00:00,NKE,SHORT ORDER CREATED
2019-01-03T00:00:00,WMT,SHORT ORDER CREATED
2019-01-03T00:00:00,GILD,SHORT ORDER CREATED
2019-01-03T00:00:00,NFLX,SHORT ORDER CREATED
2019-01-03T00:00:00,VZ,SHORT ORDER CREATED
2019-01-03T00:00:00,AMGN,SHORT ORDER CREATED
2019-01-03T00:00:00,COP,SHORT ORDER CREATED
2019-01-03T00:00:00,BAC,SHORT ORDER CREATED
2019-01-03T00:00:00,TGT,SHORT ORDER CREATED
2019-01-03T00:00:00,SLB,SHORT ORDER CREATED
2019-01-03T00:00:00,WFC,SHORT ORDER CREATED
2019-01-03T00:00:00,SCHW,SHORT ORDER CREATED
2019-01-03T00:00:00,DD,SHORT ORDER CREATED
2019-01-03T00:00:00,MPC,SHORT ORDER CREATED
2019-01-03T00:00:00,T,SHORT ORDER CREATED
2019-01-03T00:00:00,MS,SHORT ORDER CREATED
2019-01-03T00:00:00,AAPL,LONG ORDER CREATED
2019-01-03T00:00:00,DAL,LONG ORDER CREATED
2019-01-03T00:00:00,BMY,LONG ORDER CREATED
2019-01-03T00:00:00,FDX,LONG ORDER CREATED
2019-01-03T00:00:00,NVDA,LONG ORDER CREATED
2019-01-03T00:00:00,AMD,LONG ORDER CREATED
2019-01-03T00:00:00,TSLA,LONG ORDER CREATED
2019-01-03T00:00:00,RTX,LONG ORDER CREATED
2019-01-03T00:00:00,ACN,LONG ORDER CREATED
2019-01-03T00:00:00,PM,LONG ORDER CREATED
2019-01-03T00:00:00,WBA,LONG ORDER CREATED
2019-01-03T00:00:00,GM,LONG ORDER CREATED
2019-01-03T00:00:00,MU,LONG ORDER CREATED
2019-01-03T00:00:00,TMO,LONG ORDER CREATED
2019-01-03T00:00:00,META,LONG ORDER CREATED
2019-01-03T00:00:00,F,LONG ORDER CREATED
2019-01-03T00:00:00,AVGO,LONG ORDER CREATED
2019-01-03T00:00:00,MDT,LONG ORDER CREATED
2019-01-03T00:00:00,INTC,LONG ORDER CREATED
2019-01-03T00:00:00,LMT,LONG ORDER CREATED
2019-01-04T00:00:00,AMAT,BUY executed,32.26
2019-01-04T00:00:00,AXP,SELL executed,95.37
2019-01-04T00:00:00,BA,BUY executed,316.69
2019-01-04T00:00:00,BRK-B,BUY executed,194.85
2019-01-04T00:00:00,CHTR,SELL executed,291.11
2019-01-04T00:00:00,CI,SELL executed,186.89
2019-01-04T00:00:00,CMCSA,SELL executed,35.03
2019-01-04T00:00:00,CRM,BUY executed,133.50
2019-01-04T00:00:00,CVS,SELL executed,66.09
2019-01-04T00:00:00,D,SELL executed,70.67
2019-01-04T00:00:00,ELV,SELL executed,250.01
2019-01-04T00:00:00,FANG,BUY executed,97.87
2019-01-04T00:00:00,GOOG,BUY executed,51.63
2019-01-04T00:00:00,GOOGL,BUY executed,52.13
2019-01-04T00:00:00,GS,BUY executed,172.99
2019-01-04T00:00:00,HD,BUY executed,170.18
2019-01-04T00:00:00,LRCX,BUY executed,134.09
